순번,테이블명,테이블한글명,컬럼명,컬럼한글명,타입,크기,PK(Y),FK (Y),NOT NULL (Y),Default,비고,AS_IS,AS_IS 코드 테이블 및 컬럼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,INSP_EXFMS_MSRMT,배기가스측정정보,CO2_MAX_MSRMT_VL,이산화탄소최대측정값,DECIMAL,"10, 2",,,,,,INS_INSPECTION.gasmaxco2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,INSP_EXFMS_MSRMT,배기가스측정정보,EXAIRT_MAX_CRTR_VL,공기과잉률최대기준값,DECIMAL,"10, 2",,,,,미사용 INS_INSPECTION_INFO 의 값을 가지고와야함,INS_INSPECTION.gasmaxlambda_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,INSP_EXFMS_MSRMT,배기가스측정정보,EXAIRT_MAX_MSRMT_VL,공기과잉률최대측정값,DECIMAL,"10, 2",,,,,,INS_INSPECTION.gasmaxlampda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,INSP_EXFMS_MSRMT,배기가스측정정보,EXFMS_MSRMT_MNL_YN,배기가스측정수동여부,CHAR,1,,,,default 'N',,INS_INSPECTION.gas_ishand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,INSP_EXFMS_MSRMT,배기가스측정정보,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,검사장비에서 올릴려면 … 검사장비 로그인 아이디가 필요 하다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,INSP_EXFMS_MSRMT,배기가스측정정보,REG_DT,등록일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,INSP_EXFMS_MSRMT,배기가스측정정보,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,INSP_EXFMS_MSRMT,배기가스측정정보,MDFCN_DT,수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,INSP_LMP_DVC_MSRMT,등화장치측정정보,INSPST_CD,검사소코드,VARCHAR,7,Y,INSP_RCPT_MST.INSPST_CD,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,INSP_LMP_DVC_MSRMT,등화장치측정정보,RCPT_YMD,접수일자,VARCHAR,8,Y,INSP_RCPT_MST.RCPT_YMD,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,INSP_LMP_DVC_MSRMT,등화장치측정정보,RCPT_SEQ,접수순서,VARCHAR,4,Y,INSP_RCPT_MST.RCPT_SEQ,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,INSP_LMP_DVC_MSRMT,등화장치측정정보,HGH_BM_HRZ_CRTR,상향등수평기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfarhorstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,INSP_LMP_DVC_MSRMT,등화장치측정정보,HGH_BM_LFSD_HRZ_ANGL,상향등좌측수평각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfarhoril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,INSP_LMP_DVC_MSRMT,등화장치측정정보,HGH_BM_RGSD_HRZ_ANGL,상향등우측수평각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfarhorir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,INSP_LMP_DVC_MSRMT,등화장치측정정보,HGH_BM_LM_INT_MIN_CRTR,상향등광도최소기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfarstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,INSP_LMP_DVC_MSRMT,등화장치측정정보,HGH_BM_LM_INT_MAX_CRTR,상향등광도최대기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfarstdto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,INSP_LMP_DVC_MSRMT,등화장치측정정보,HGH_BM_LFSD_LM_INT,상향등좌측광도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,INSP_LMP_DVC_MSRMT,등화장치측정정보,HGH_BM_RGSD_LM_INT,상향등우측광도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,INSP_LMP_DVC_MSRMT,등화장치측정정보,HGH_BM_VRTC_CRTR,상향등세로기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfarverstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,INSP_LMP_DVC_MSRMT,등화장치측정정보,HGH_BM_LFSD_VRTC_ANGL,상향등좌측세로각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfarvertl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,INSP_LMP_DVC_MSRMT,등화장치측정정보,HGH_BM_RGSD_VRTC_ANGL,상향등우측세로각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfarvertr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,INSP_LMP_DVC_MSRMT,등화장치측정정보,LW_BM_HRZ_CRTR,하향등수평기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintnearverstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,INSP_LMP_DVC_MSRMT,등화장치측정정보,LW_BM_LFSD_HRZ_ANGL,하향등좌측수평각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintnearhoril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,INSP_LMP_DVC_MSRMT,등화장치측정정보,LW_BM_RGSD_HRZ_ANGL,하향등우측수평각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintnearhorir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,INSP_LMP_DVC_MSRMT,등화장치측정정보,LW_BM_LM_INT_MIN_CRTR,하향등광도최소기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintnearstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,INSP_LMP_DVC_MSRMT,등화장치측정정보,LW_BM_LM_INT_MAX_CRTR,하향등광도최대기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintnearstdto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,INSP_LMP_DVC_MSRMT,등화장치측정정보,LW_BM_LFSD_LM_INT,하향등좌측광도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintnearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,INSP_LMP_DVC_MSRMT,등화장치측정정보,LW_BM_RGSD_LM_INT,하향등우측광도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintnearr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,INSP_LMP_DVC_MSRMT,등화장치측정정보,LW_BM_VRTC_CRTR,하향등세로기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintnearhorstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,INSP_LMP_DVC_MSRMT,등화장치측정정보,LW_BM_LFSD_VRTC_ANGL,하향등좌측세로각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintnearvertl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,INSP_LMP_DVC_MSRMT,등화장치측정정보,LW_BM_RGSD_VRTC_ANGL,하향등우측세로각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintnearvertr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,INSP_LMP_DVC_MSRMT,등화장치측정정보,FG_LMP_LM_INT_CRTR,안개등광도기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfogstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,INSP_LMP_DVC_MSRMT,등화장치측정정보,FG_LMP_LFSD_LM_INT,안개등좌측광도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfogl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,INSP_LMP_DVC_MSRMT,등화장치측정정보,FG_LMP_RGSD_LM_INT,안개등우측광도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfogr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,INSP_LMP_DVC_MSRMT,등화장치측정정보,FG_LMP_LFSD_HRZ_ANGL,안개등좌측수평각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfoghoril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,INSP_LMP_DVC_MSRMT,등화장치측정정보,FG_LMP_RGSD_HRZ_ANGL,안개등우측수평각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfoghorir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,INSP_LMP_DVC_MSRMT,등화장치측정정보,FG_LMP_LFSD_VRTC_ANGL,안개등좌측세로각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfogvertl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,INSP_LMP_DVC_MSRMT,등화장치측정정보,FG_LMP_RGSD_VRTC_ANGL,안개등우측세로각도,DECIMAL,"10, 2",,,,,,INS_INSPECTION.lintfogvertr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,INSP_LMP_DVC_MSRMT,등화장치측정정보,LMP_DVC_MSRMT_MNL_YN,등화장치측정수동여부,CHAR,1,,,,default 'N',,INS_INSPECTION.lint_ishand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,INSP_LMP_DVC_MSRMT,등화장치측정정보,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,검사장비에서 올릴려면 … 검사장비 로그인 아이디가 필요 하다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,INSP_LMP_DVC_MSRMT,등화장치측정정보,REG_DT,등록일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,INSP_LMP_DVC_MSRMT,등화장치측정정보,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,INSP_LMP_DVC_MSRMT,등화장치측정정보,MDFCN_DT,수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,INSP_NOISE_MSRMT,소음측정정보,INSPST_CD,검사소코드,VARCHAR,7,Y,INSP_RCPT_MST.INSPST_CD,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,INSP_NOISE_MSRMT,소음측정정보,RCPT_YMD,접수일자,VARCHAR,8,Y,INSP_RCPT_MST.RCPT_YMD,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,INSP_NOISE_MSRMT,소음측정정보,RCPT_SEQ,접수순서,VARCHAR,4,Y,INSP_RCPT_MST.RCPT_SEQ,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,INSP_NOISE_MSRMT,소음측정정보,NOISE_CRTR,소음기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.noiselevelstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,INSP_NOISE_MSRMT,소음측정정보,NOISE_MSRMT,소음측정,DECIMAL,"10, 2",,,,,,INS_INSPECTION.noiselevel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,INSP_NOISE_MSRMT,소음측정정보,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,INSP_NOISE_MSRMT,소음측정정보,REG_DT,등록일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,INSP_NOISE_MSRMT,소음측정정보,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,INSP_NOISE_MSRMT,소음측정정보,MDFCN_DT,수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,INSP_TIRE_MSRMT,타이어측정정보,INSPST_CD,검사소코드,VARCHAR,7,Y,INSP_RCPT_MST.INSPST_CD,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,INSP_TIRE_MSRMT,타이어측정정보,RCPT_YMD,접수일자,VARCHAR,8,Y,INSP_RCPT_MST.RCPT_YMD,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,INSP_TIRE_MSRMT,타이어측정정보,RCPT_SEQ,접수순서,VARCHAR,4,Y,INSP_RCPT_MST.RCPT_SEQ,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,INSP_TIRE_MSRMT,타이어측정정보,AIR_PRS_AXL_CRTR1,공기압1차축기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.pressureaxle1std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,INSP_TIRE_MSRMT,타이어측정정보,AIR_PRS_AXL_MSRMT1,공기압1차축측정,DECIMAL,"10, 2",,,,,,INS_INSPECTION.pressureaxle1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,INSP_TIRE_MSRMT,타이어측정정보,ETC_AIR_PRS_CRTR,기타공기압기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.pressureotherstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,INSP_TIRE_MSRMT,타이어측정정보,ETC_AIR_PRS_MSRMT,기타공기압측정,DECIMAL,"10, 2",,,,,,INS_INSPECTION.pressureother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,INSP_TIRE_MSRMT,타이어측정정보,TIRE_GRV_DPTH_CRTR,타이어홈깊이기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.treaddepthstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,INSP_TIRE_MSRMT,타이어측정정보,TIRE_GRV_DPTH_MSRMT,타이어홈깊이측정,DECIMAL,"10, 2",,,,,,INS_INSPECTION.treaddepth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,INSP_TIRE_MSRMT,타이어측정정보,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,검사장비에서 올릴려면 … 검사장비 로그인 아이디가 필요 하다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,INSP_TIRE_MSRMT,타이어측정정보,REG_DT,등록일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,INSP_TIRE_MSRMT,타이어측정정보,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,INSP_TIRE_MSRMT,타이어측정정보,MDFCN_DT,수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,INSP_ETC_EQP_MSRMT,기타장비측정정보,INSPST_CD,검사소코드,VARCHAR,7,Y,INSP_RCPT_MST.INSPST_CD,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,INSP_ETC_EQP_MSRMT,기타장비측정정보,RCPT_YMD,접수일자,VARCHAR,8,Y,INSP_RCPT_MST.RCPT_YMD,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,INSP_ETC_EQP_MSRMT,기타장비측정정보,RCPT_SEQ,접수순서,VARCHAR,4,Y,INSP_RCPT_MST.RCPT_SEQ,Y,,,INS_INSPECTION.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,INSP_ETC_EQP_MSRMT,기타장비측정정보,PDL_PRSR_CRTR,페달압력기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.sbbpedalstd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,INSP_ETC_EQP_MSRMT,기타장비측정정보,PDL_PRSR_MSRMT,페달압력측정,DECIMAL,"10, 2",,,,,,INS_INSPECTION.sbbpedal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,INSP_ETC_EQP_MSRMT,기타장비측정정보,STR_WHL_PLAY_CRTR,핸들유격기준,DECIMAL,"10, 2",,,,,,INS_INSPECTION.tcpulfreestd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,INSP_ETC_EQP_MSRMT,기타장비측정정보,STR_WHL_PLAY_MSRMT,핸들유격측정,DECIMAL,"10, 2",,,,,,INS_INSPECTION.tcpulfree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,INSP_ETC_EQP_MSRMT,기타장비측정정보,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,검사장비에서 올릴려면 … 검사장비 로그인 아이디가 필요 하다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,INSP_ETC_EQP_MSRMT,기타장비측정정보,REG_DT,등록일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,INSP_ETC_EQP_MSRMT,기타장비측정정보,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,INSP_ETC_EQP_MSRMT,기타장비측정정보,MDFCN_DT,수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,INSP_TUN_APRV_APLY,튜닝승인신청정보,INSPST_CD,검사소코드,VARCHAR,7,Y,INSP_RCPT_MST.INSPST_CD,Y,,"화면에 표시시 접수부서코드-접수일자-접수순서
예)0001-20260102-0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,INSP_TUN_APRV_APLY,튜닝승인신청정보,RCPT_YMD,접수일자,VARCHAR,8,Y,INSP_RCPT_MST.RCPT_YMD,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,INSP_TUN_APRV_APLY,튜닝승인신청정보,RCPT_SEQ,접수순서,VARCHAR,4,Y,INSP_RCPT_MST.RCPT_SEQ,Y,,0001 부터 시작,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,INSP_TUN_APRV_APLY,튜닝승인신청정보,TUN_APRV_DSCTN,튜닝승인내역,VARCHAR,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,INSP_TUN_APRV_APLY,튜닝승인신청정보,RJCT_YN,반려여부,CHAR,1,,,,default 'N',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,INSP_TUN_APRV_APLY,튜닝승인신청정보,TUN_RJCT_CD,튜닝반려코드,VARCHAR,1,,SYS_CD_GRP.GRP_ID,,,GRP_ID='342',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,INSP_TUN_APRV_APLY,튜닝승인신청정보,TUN_RJCT_RSN,튜닝반려사유,VARCHAR,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,INSP_TUN_APRV_APLY,튜닝승인신청정보,TUN_APRV_DTL_CD,튜닝승인상세코드,VARCHAR,255,,SYS_CD_GRP.GRP_ID,Y,,"GRP_ID='341'
001|002| 이런식 또는 001002 이런식으로",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,INSP_TUN_APRV_APLY,튜닝승인신청정보,SPEC_ID,제원ID,INT,,,REG_VHCL_SPEC.SPEC_ID,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,INSP_TUN_APRV_APLY,튜닝승인신청정보,SPEC_MNG_NO,제원관리번호,VARCHAR,20,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,INSP_TUN_APRV_APLY,튜닝승인신청정보,SPEC_VIN,제원차대번호,VARCHAR,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,INSP_TUN_APRV_APLY,튜닝승인신청정보,MDL_ID,모델ID,BIGINT,,,REG_VHCL_MDL.MDL_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,INSP_TUN_APRV_APLY,튜닝승인신청정보,VHCL_TYPE_ID,자동차유형ID,BIGINT,,,REG_VHCL_TYPE.VHCL_TYPE_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,INSP_TUN_APRV_APLY,튜닝승인신청정보,CLSF_CD,분류코드,VARCHAR,1,,SYS_CD_GRP.GRP_ID,,,GRP_ID='002',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,INSP_TUN_APRV_APLY,튜닝승인신청정보,AXL_CNT,차축수,INT,,,,,,길이 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,INSP_TUN_APRV_APLY,튜닝승인신청정보,TWGHT,총중량,INT,,,,,,길이 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,INSP_TUN_APRV_APLY,튜닝승인신청정보,SEAT_CNT,좌석수,INT,,,,,,길이 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,INSP_TUN_APRV_APLY,튜닝승인신청정보,DOOR_CNT,문수,INT,,,,,,길이 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,INSP_TUN_APRV_APLY,튜닝승인신청정보,MXLDC,최대적재용량,INT,,,,,,길이 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,INSP_TUN_APRV_APLY,튜닝승인신청정보,WGHT,중량,INT,,,,,,길이 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,INSP_TUN_APRV_APLY,튜닝승인신청정보,HGT,높이,INT,,,,,,길이 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,INSP_TUN_APRV_APLY,튜닝승인신청정보,WDTH,가로,INT,,,,,,길이 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,INSP_TUN_APRV_APLY,튜닝승인신청정보,LEN,길이,INT,,,,,,길이 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,INSP_TUN_APRV_APLY,튜닝승인신청정보,VHCL_NM,자동차명,VARCHAR,100,,,,,REG_VHCL_MDL의  MDL_NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,INSP_TUN_APRV_APLY,튜닝승인신청정보,HYBRD_YN,하이브리드여부,CHAR,1,,,,default 'N',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,INSP_TUN_APRV_APLY,튜닝승인신청정보,ENGN_MDL_ID,엔진모델ID,BIGINT,,,REG_VHCL_ENGN_MDL.ENGN_MDL_ID,,,FUEL_TYPE_CD [연료유형코드],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,INSP_TUN_APRV_APLY,튜닝승인신청정보,STWHL_PSTN_CD,운전대위치코드,VARCHAR,1,,SYS_CD_GRP.GRP_ID,,,GRP_ID= '003',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,INSP_TUN_APRV_APLY,튜닝승인신청정보,DRV_MTH_CD,구동방식코드,VARCHAR,2,,SYS_CD_GRP.GRP_ID,,,GRP_ID= '005' (스티어링유형),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,INSP_TUN_APRV_APLY,튜닝승인신청정보,USE_YN,사용여부,CHAR,1,,,,default 'Y',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,INSP_TUN_APRV_APLY,튜닝승인신청정보,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,INSP_TUN_APRV_APLY,튜닝승인신청정보,REG_DT,등록일시,DATETIME,,,,,default NOW(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,INSP_TUN_APRV_APLY,튜닝승인신청정보,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,INSP_TUN_APRV_APLY,튜닝승인신청정보,MDFCN_DT,수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,INSP_TUN_APRV_APLY_DTL,튜닝승인신청상세정보,INSPST_CD,검사소코드,VARCHAR,7,Y,INSP_TUN_APRV_APLY.INSPST_CD,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,INSP_TUN_APRV_APLY_DTL,튜닝승인신청상세정보,RCPT_YMD,접수일자,VARCHAR,8,Y,INSP_TUN_APRV_APLY.RCPT_YMD,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,INSP_TUN_APRV_APLY_DTL,튜닝승인신청상세정보,RCPT_SEQ,접수순서,VARCHAR,4,Y,INSP_TUN_APRV_APLY.RCPT_SEQ,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,INSP_TUN_APRV_APLY_DTL,튜닝승인신청상세정보,TUN_APRV_DTL_CD,튜닝승인상세코드,VARCHAR,3,Y,SYS_CD_GRP.GRP_ID,Y,,GRP_ID= '341',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,INSP_TUN_APRV_APLY_DTL,튜닝승인신청상세정보,TUN_APRV_ETC_RSN,튜닝승인기타사유,VARCHAR,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,INSP_TUN_APRV_APLY_DTL,튜닝승인신청상세정보,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,INSP_TUN_APRV_APLY_DTL,튜닝승인신청상세정보,REG_DT,등록일시,DATETIME,,,,,default NOW(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,INSP_TUN_APRV_APLY_DTL,튜닝승인신청상세정보,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,INSP_TUN_APRV_APLY_DTL,튜닝승인신청상세정보,MDFCN_DT,수정일시,DATETIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, INSP_TAXI_MTR_FAL,미터기불합격정보,INSPST_CD,검사소코드,VARCHAR,7,Y,INSP_RCPT_MST.INSPST_CD,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, INSP_TAXI_MTR_FAL,미터기불합격정보,RCPT_YMD,접수일자,VARCHAR,8,Y,INSP_RCPT_MST.RCPT_YMD,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, INSP_TAXI_MTR_FAL,미터기불합격정보,RCPT_SEQ,접수순서,VARCHAR,4,Y,INSP_RCPT_MST.RCPT_SEQ,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, INSP_TAXI_MTR_FAL,미터기불합격정보,FAL_CD,불합격코드,VARCHAR,4,Y,,Y,,VIMS 부적합코드 사용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, INSP_TAXI_MTR_FAL,미터기불합격정보,FAL_RSN,불합격사유,VARCHAR,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
